City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Mastic Beach,US,58.21,broken clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
450,Tono,JP,56.43,overcast clouds,39.3167,141.5333,Aeria Tono
453,Uusikaupunki,FI,53.82,light rain,60.8004,21.4084,Hotel Aquarius
454,Cornelio Procopio,BR,54.48,broken clouds,-23.1811,-50.6467,Hotel Midas Cornélio Procópio
455,Ripoll,ES,58.78,overcast clouds,42.2006,2.1903,Hotel Solana Del Ter
456,Morris,US,54.79,overcast clouds,40.8334,-74.5329,Parsippany Inn and Suites Morris Plains
457,Ippy,CF,68.54,overcast clouds,6.2679,21.2247,
463,Shaowu,CN,78.13,broken clouds,27.3409,117.4831,Yijie Express Hotel
464,Silver City,US,52.68,overcast clouds,32.7701,-108.2803,Copper Manor Motel
467,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
473,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
474,Mahina,PF,78.57,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
477,Kampenhout,BE,54.45,few clouds,50.95,4.55,Oxygen House
479,Mabaruma,GY,74.07,broken clouds,8.2,-59.7833,Monty Brooms Guest House
485,Alushta,UA,65.46,clear sky,44.6667,34.4167,Villa Lubimaya
486,Kidero,RU,52.97,broken clouds,42.1932,45.9614,
487,Ryotsu,JP,62.47,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
489,Pietarsaari,FI,51.01,overcast clouds,63.65,22.6833,Jakobstad City Hotel Pietarsaari
491,Ketchikan,US,55.56,broken clouds,55.3422,-131.6461,Snow's Cove Lodge
492,Fassuta,IL,70.81,clear sky,33.0483,35.3098,Villa Rosa Galilea
493,Ulcinj,ME,57.97,broken clouds,41.9294,19.2244,Hotel Palata Venezia
494,Catamarca,AR,70.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
496,Awjilah,LY,66.94,few clouds,29.1081,21.2869,المنزل
497,Vila Franca Do Campo,PT,71.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
499,Kamenka,RU,51.6,clear sky,51.3223,42.7678,
502,Palmer,US,51.35,few clouds,42.1584,-72.3287,Wedgewood Motel
503,Cervo,ES,60.89,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
506,Cadereyta,MX,70.18,overcast clouds,25.5833,-99.9833,Hotel Maria Luisa Inn and Suites
507,Gonda,IN,78.46,overcast clouds,27.1333,81.9333,Capital O 41566 Golden Fairy Resort
508,Vredendal,ZA,68.7,scattered clouds,-31.6683,18.5012,Tharrakamma Guest House
509,Kingsport,US,56.71,broken clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
512,Fuerte Olimpo,PY,61.27,clear sky,-21.0415,-57.8738,Hospedaje DAMI
513,Damara,CF,71.67,overcast clouds,4.9608,18.7035,
517,Moramanga,MG,68.9,scattered clouds,-18.9333,48.2,Espace VANILLA
518,Gazojak,TM,65.75,clear sky,41.1875,61.4036,
519,Ulladulla,AU,61.7,moderate rain,-35.35,150.4667,Sandpiper Motel
520,Mogok,MM,78.91,clear sky,22.9167,96.5,MOGOK HILL HOTEL
521,Iralaya,HN,78.46,overcast clouds,15.0,-83.2333,Iglesia morava renovada
522,Chihuahua,MX,62.56,broken clouds,28.5,-106.0,
526,Charyshskoye,RU,61.7,scattered clouds,51.3978,83.5598,Gostinitsa Charysh
527,Jasper,US,51.67,broken clouds,37.2001,-94.3502,Guest House Motel
528,Kijang,KR,64.81,overcast clouds,35.2442,129.2139,Samyang Beach Villa
531,Porto Seguro,BR,74.44,overcast clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
534,Lucea,JM,79.86,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
535,Sabinas Hidalgo,MX,69.82,overcast clouds,26.5,-100.1667,Hotel Real Santiago De Las Sabinas
536,Tautira,PF,76.73,light rain,-17.7333,-149.15,Pension Oaoa
537,Nanyamba,TZ,79.65,light rain,-10.6833,39.8333,Busati Lodge Nanyamba
538,Niamey,NE,79.47,scattered clouds,13.5137,2.1098,Soluxe Hotel Niamey
540,Wieliczka,PL,57.15,clear sky,49.9874,20.0647,Hotel Górsko
547,Tartagal,AR,63.55,clear sky,-22.5164,-63.8013,Almuñecar Hotel
548,Rincon,US,70.86,clear sky,32.296,-81.2354,Days Inn Rincon
549,Hirara,JP,78.89,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
552,Slavgorodskoye,RU,64.78,overcast clouds,53.0214,78.6435,Hotel Slavgorod
556,Cayenne,GF,73.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
557,Peace River,CA,55.65,broken clouds,56.2501,-117.286,BCMInns - Peace River
559,Ailigandi,PA,76.8,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
561,Luena,AO,70.11,scattered clouds,-11.7833,19.9167,Hotel Kandamba
562,Anahuac,MX,71.94,broken clouds,27.2333,-100.15,HOTEL SAN FELIPE
564,Eureka,US,57.67,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
565,Tierranueva,MX,56.28,overcast clouds,21.6833,-100.5667,La nueva patria y libertad
566,Lleida,ES,65.68,clear sky,41.6167,0.6167,Hotel Ramon Berenguer IV
570,Lundazi,ZM,76.28,clear sky,-12.2929,33.1782,Knox Lodge
574,Port Pirie,AU,59.52,broken clouds,-33.1833,138.0167,John Pirie Motor Inn
576,Kurchum,KZ,64.63,few clouds,48.5722,83.6542,"""Kneda"" Hotel"
