City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,Huarmey,-10.0681,-78.1522,61.47,86,8,7.47,PE,2022-10-07 04:45:18
112,Portland,45.5234,-122.6762,67.86,81,20,1.01,US,2022-10-07 04:41:54
113,Cherskiy,68.75,161.3,20.79,92,98,13.69,RU,2022-10-07 04:45:19
114,Houma,29.5958,-90.7195,69.01,91,0,0.0,US,2022-10-07 04:44:03
115,Birin,26.8865,88.0718,70.61,71,16,5.41,NP,2022-10-07 04:45:19
116,Manta,-0.95,-80.7333,69.58,83,75,9.22,EC,2022-10-07 04:45:20
117,Malanje,-9.5402,16.341,64.49,92,98,1.45,AO,2022-10-07 04:45:20
118,Carutapera,-1.195,-46.02,77.58,82,20,8.28,BR,2022-10-07 04:45:21
119,Jamestown,42.097,-79.2353,60.39,69,100,7.0,US,2022-10-07 04:43:19
120,Nanortalik,60.1432,-45.2371,35.94,82,100,5.5,GL,2022-10-07 04:45:22
121,Castro,-24.7911,-50.0119,62.13,97,100,10.02,BR,2022-10-07 04:45:23
122,Kulhudhuffushi,6.6221,73.07,81.82,73,22,16.96,MV,2022-10-07 04:45:24
123,Mehtar Lam,34.6714,70.2094,79.39,10,0,2.26,AF,2022-10-07 04:45:24
124,Cape Town,-33.9258,18.4232,58.37,78,20,4.0,ZA,2022-10-07 04:43:24
125,Daytona Beach,29.2108,-81.0228,70.09,92,0,5.01,US,2022-10-07 04:45:00
126,Praia,14.9215,-23.5087,79.34,89,97,12.66,CV,2022-10-07 04:45:25
127,Bure,10.7,37.0667,59.47,86,61,1.63,ET,2022-10-07 04:45:26
128,Auki,-8.7676,160.7034,83.23,70,99,2.44,SB,2022-10-07 04:43:24
129,Kaitangata,-46.2817,169.8464,48.54,64,3,5.97,NZ,2022-10-07 04:45:26
130,Port Hedland,-20.3167,118.5667,91.45,33,20,17.27,AU,2022-10-07 04:45:27
131,Atbasar,51.8,68.3333,57.43,22,100,10.6,KZ,2022-10-07 04:41:18
132,Hualmay,-11.0964,-77.6139,60.06,86,6,7.67,PE,2022-10-07 04:45:27
133,Cabo San Lucas,22.8909,-109.9124,83.52,75,18,1.01,MX,2022-10-07 04:45:28
134,Cidreira,-30.1811,-50.2056,64.65,95,100,11.54,BR,2022-10-07 04:45:28
135,Mayo,38.8876,-76.5119,63.12,93,0,1.99,US,2022-10-07 04:45:29
136,Pankrushikha,53.8319,80.3406,48.29,58,100,7.54,RU,2022-10-07 04:45:29
